Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
24614445,WHOSIS_000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,BTSX,2010,,,,,,,76.2,76.24688,,,,2020-12-04T16:59:46.737+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614449,WHOSIS_000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,BTSX,2015,,,,,,,77.8,77.84428,,,,2020-12-04T16:59:46.817+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614453,WHOSIS_000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,BTSX,2019,,,,,,,78.0,78.00018,,,,2020-12-04T16:59:46.94+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614457,WHOSIS_000001,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,SEX,MLE,2000,,,,,,,72.2,72.1955,,,,2020-12-04T16:59:47.02+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614461,WHOSIS_000001,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,SEX,MLE,2010,,,,,,,73.9,73.86103,,,,2020-12-04T16:59:47.16+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614465,WHOSIS_000001,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,SEX,MLE,2015,,,,,,,74.3,74.25413,,,,2020-12-04T16:59:47.24+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614469,WHOSIS_000001,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,SEX,MLE,2019,,,,,,,75.1,75.09794,,,,2020-12-04T16:59:47.317+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614473,WHOSIS_000001,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,SEX,FMLE,2000,,,,,,,75.1,75.05625,,,,2020-12-04T16:59:47.41+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614477,WHOSIS_000001,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,SEX,FMLE,2010,,,,,,,77.4,77.39238,,,,2020-12-04T16:59:47.49+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614481,WHOSIS_000001,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,SEX,FMLE,2015,,,,,,,77.8,77.84315,,,,2020-12-04T16:59:47.58+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614485,WHOSIS_000001,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,SEX,FMLE,2019,,,,,,,78.4,78.42261,,,,2020-12-04T16:59:47.66+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614489,WHOSIS_000001,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,SEX,BTSX,2000,,,,,,,73.2,73.18027,,,,2020-12-04T16:59:47.757+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614493,WHOSIS_000001,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,SEX,BTSX,2010,,,,,,,74.9,74.86285,,,,2020-12-04T16:59:47.85+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614497,WHOSIS_000001,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,SEX,BTSX,2015,,,,,,,75.3,75.31077,,,,2020-12-04T16:59:47.96+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
